Protein1,Protein2,AbsPos1,AbsPos2
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,262,257
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,262,259
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,262,267
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,262,268
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,262,274
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,135,126
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,135,130
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,135,132
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,135,140
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,135,141
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,135,143
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,263,254
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,263,257
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,263,259
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,263,267
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,263,268
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,263,274
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,137,126
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,137,130
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,137,132
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,137,140
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,137,141
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,137,143
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,137,148
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,394,383
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,394,385
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,394,388
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,394,395
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,394,406
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,396,385
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,396,388
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,396,395
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,396,406
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,396,407
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,400,388
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,400,395
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,400,406
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,400,407
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,17,5
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,17,14
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,17,23
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,17,24
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,18,14
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,18,23
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,18,24
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,403,395
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,403,406
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,403,407
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,404,395
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,404,406
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,404,407
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,149,140
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,149,141
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,149,143
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,149,148
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,149,150
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,149,155
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,153,141
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,153,143
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,153,148
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,153,150
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,153,155
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,153,163
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,409,406
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,409,407
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,412,406
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,412,407
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,29,23
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,29,24
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,29,32
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,285,274
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,285,280
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,285,281
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,285,290
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,285,294
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,413,406
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,413,407
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,30,23
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,30,24
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,30,32
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,414,406
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,414,407
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,416,406
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,416,407
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,289,280
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,289,281
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,289,290
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,289,294
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,289,298
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,289,299
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,293,281
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,293,290
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,293,294
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,293,298
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,293,299
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,39,32
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,39,44
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,169,163
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,169,170
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,169,174
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,169,180
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,427,438
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,46,44
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,175,163
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,175,170
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,175,174
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,175,180
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,305,294
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,305,298
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,305,299
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,305,311
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,305,317
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,433,438
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,50,44
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,435,438
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,52,44
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,181,170
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,181,174
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,181,180
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,181,190
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,310,298
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,310,299
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,310,311
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,310,317
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,310,321
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,56,44
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,56,67
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,184,174
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,184,180
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,184,190
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,184,194
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,185,174
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,185,180
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,185,190
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,185,194
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,316,311
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,316,317
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,316,321
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,61,67
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,63,67
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,191,180
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,191,190
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,191,194
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,319,311
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,319,317
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,319,321
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,319,329
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,319,330
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,319,331
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,64,67
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,320,311
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,320,317
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,320,321
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,320,329
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,320,330
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,320,331
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,195,190
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,195,194
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,68,67
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,324,317
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,324,321
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,324,329
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,324,330
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,324,331
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,69,67
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,197,190
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,197,194
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,197,209
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,198,190
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,198,194
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,198,209
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,71,67
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,199,190
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,199,194
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,199,209
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,199,211
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,202,190
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,202,194
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,202,209
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,202,211
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,76,67
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,76,87
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,205,194
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,205,209
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,205,211
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,208,209
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,208,211
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,210,209
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,210,211
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,210,221
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,212,209
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,212,211
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,212,221
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,212,224
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,341,329
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,341,330
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,341,331
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,341,340
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,341,343
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,341,347
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,341,349
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,341,353
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,214,209
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,214,211
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,214,221
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,214,224
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,214,225
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,217,209
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,217,211
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,217,221
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,217,224
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,217,225
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,220,209
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,220,211
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,220,221
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,220,224
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,220,225
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,220,230
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,95,87
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,95,94
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,352,340
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,352,343
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,352,347
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,352,349
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,352,353
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,352,362
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,356,347
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,356,349
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,356,353
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,356,362
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,101,94
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,102,94
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,231,221
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,231,224
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,231,225
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,231,230
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,231,234
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,231,240
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,231,242
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,361,349
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,361,353
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,361,362
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,361,369
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,361,370
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,235,224
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,235,225
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,235,230
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,235,234
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,235,240
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,235,242
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,237,225
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,237,230
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,237,234
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,237,240
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,237,242
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,238,230
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,238,234
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,238,240
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,238,242
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,111,121
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,113,121
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,241,230
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,241,234
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,241,240
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,241,242
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,245,234
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,245,240
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,245,242
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,245,254
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,245,257
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,373,362
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,373,369
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,373,370
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,373,374
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,373,375
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,373,379
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,373,383
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,373,385
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,377,369
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,377,370
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,377,374
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,377,375
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,377,379
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,377,383
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,377,385
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,377,388
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,123,121
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,123,126
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,123,130
sp|P10636-8|TAU_HUMAN,sp|P10636-8|TAU_HUMAN,123,132
